mission_id,name,start_date,end_date,commander_id,supervisor_id,description
M1168946,Cryovolcanism,2054-11-07,2055-04-01,E1783092,E4232170,"A scientific mission to study the unique cryovolcanic activity of Nimarus, which spews out liquid nitrogen and other volatiles"
M6118809,Tornado Alley,2049-08-02,2051-03-09,E1783092,E4232170,A scientific mission to study Zerax's massive tornadoes and other extreme weather patterns
M5209098,Aurora Zone,2052-06-08,,E6428947,E0162206,An atmospheric mission to study the aurora and other atmospheric phenomena of Zerax
M8034270,Thunder Road,2055-02-03,2056-01-07,E3357916,E0380472,A hazardous mission to explore the lightning-filled canyons and mountains of Zerax in search of valuable resources
M2170305,Molten Core,2062-09-23,2066-05-15,E1783092,E0162206,A hazardous mission to extract energy from the highly active geothermal vents on Vythos
M0787631,Fire and Ash,2068-11-02,2071-04-14,E3357916,E0162206,A manned mission to study the volcanic activity of Vythos and search for signs of life
M2572175,Smoke and Mirrors,2072-08-10,2075-05-09,E5085375,E8367340,A scientific mission to study the effects of volcanic emissions on Vythos’ atmosphere and its potential impact on habitability
M5097271,Rings of Helith,2064-04-16,2070-09-08,E7843495,E8367340,An exploratory mission to study the ring system of Helith and map the planet’s many moons
M4379081,Balanced Equilibrium,2071-02-12,,E5085375,E0380472,"A mission to investigate unusual readings on one of Helith’s moons, including potential signs of habitability"
M1439023,Storm Chasers,2072-06-02,2075-01-19,E3357916,E7947414,An atmospheric mission to study the powerful storms and lightning discharges of Helith
M6152859,Magnetic Meltdown,2062-07-09,,E8541698,E8367340,"A mission to study the origin and behavior of Aurorion’s magnetic field, including any potential impact on habitability and future colonization"
M2122875,Auroral Symphony,2067-05-12,2070-02-18,E3487347,E0162206,An atmospheric mission to study the auroras of Aurorion and their impact on the planet’s climate and geology
M9288154,Electromagnetic Pulse,2072-11-01,,E1783092,E0380472,A hazardous mission to investigate the source and potential effects of a massive electromagnetic pulse detected on Aurorion
M9355321,Treasure Hunt,2071-10-16,,E7843495,E8367340,A hazardous mission to explore deep underground caves on Orin in search of valuable resources and potential signs of life
M6587836,Sand and Rock,2072-12-24,2075-11-22,E7843495,E7947414,A manned mission to conduct geologic surveys and collect data on Orin’s atmosphere and climate
M9341766,Storm Chasers,2071-06-09,2073-01-31,E5502287,E4232170,An atmospheric mission to study the ephemeral flash floods and lightning discharges of Orin’s desert landscape
M8404951,Atmospheric Probe,2038-06-25,2038-06-30,E7843495,E0380472,Launch an unmanned probe into the atmosphere of Tychus to study its composition and behavior.
M5576312,Surface Sample,2039-11-20,2039-11-27,E7843495,E8367340,Launch manned mission to collect samples of the rocky surface of Tychus.
M8356259,Cave Exploration,2045-03-12,2045-03-22,E6428947,E8367340,Send team to explore the deep cave systems discovered on Tychus.
M2779210,Volcano Observation,2050-09-01,2051-02-01,E5085375,E0162206,Deploy a team to study the behavior of the volcanoes on Tychus and their potential impact on future colonization.
M0716633,Moon Exploration,2045-05-15,2045-06-15,E7843495,E0380472,"Send team to explore the most promising moon of Galaxia and study its geology, atmosphere, and potential for colonization."
M0741631,Gas Giant Mapping,2055-07-22,,E7843495,E7947414,Deploy unmanned drones to map the surface of Galaxia and study its atmosphere.
M9427943,Ice Sample Collection,2040-04-01,2040-04-10,E3357916,E0162206,Manned mission to collect ice samples from Aurora for research purposes.
M0978108,Aurora Ring Observation,2050-11-01,,E5085375,E0380472,Deploy unmanned probes to study the Aurora Ring and its composition.
M6235019,Nebula Study,2048-08-01,,E3357916,E4232170,Send team to study the composition and behavior of the colorful nebula surrounding Nebula planet.
M4101675,Toxic Gas Study,2065-09-15,2065-10-01,E8541698,E0380472,Deploy crew to study and analyze the level and behavior of toxic gases in Exodus planet.
M9762974,Surface Habitability Study,2071-11-24,2072-04-03,E2676502,E0380472,Send team to study the habitability and potential for colonization of Exodus planet surface.
M9131370,Project Phoenix,2050-09-28,2052-02-15,E5085375,E7947414,An exploratory mission to study Fenix Prime's unique ring system and the planet's composition and behavior.
M0954864,Ring Odyssey,2060-01-10,,E7870753,E0380472,A prolonged mission to continue studying Fenix Prime's rings at various angles and to study atmospheric phenomena.
M0201916,Radiance,2045-10-18,2046-07-01,E9537978,E4232170,"A hazardous mission to study Aetheria's radiation belt, using a heavily-shielded probe and advanced sensors."
M6756731,Aetherian Dreams,2050-03-14,2053-06-15,E7843495,E8367340,"An experimental mission to test a new radiation-resistant spacecraft, and to gather data on Aetheria's surface and subsurface activities."
M7922841,Aetheric Shadows,2060-06-06,,E5502287,E7947414,"A long-term mission to study the relationship between Aetheria's atmosphere and its radiation belt, using advanced sensor arrays and high-altitude probes."
M5594845,Stormchaser,2044-02-15,2046-06-30,E8541698,E0162206,A mission to study Aquillon's massive storms and to determine their effect on the planet's oceanic and atmospheric systems.
M7369465,Marine Odyssey,2057-09-22,2060-05-05,E3357916,E7947414,"A mission to explore Aquillon's oceanic depths, using a specially-equipped submersible craft."
M6609841,Aqua Vitae,2065-04-01,,E7843495,E0162206,"An extended mission to study Aquillon's oceanic and atmospheric chemistry, and to search for signs of life."
M5384092,Heatwave,2070-01-02,,E7843495,E0380472,A mission to investigate the phenomenon of extreme temperature fluctuations on Hindar and collect data to understand its causes.
M7650540,Arid Moon,2071-05-28,2072-07-06,E6428947,E8367340,An exploratory mission to investigate the geological properties of Hindar and its composition and potential for colonization.
M7562838,Aurora Borealis,2073-08-15,,E1783092,E7947414,A mission to study the magnetic fields and bright auroras of Aurorium to understand the long-term behavior of planetary magnetospheres.
M8542123,Magnetic Sphere,2068-09-12,2070-04-30,E7870753,E8367340,A mission to study the magnetic field and potential radiation hazards around Aurorium to gather data on the planet's atmosphere and composition.
M5277721,Nebula Odyssey,2045-12-15,2048-06-30,E3357916,E0380472,An ambitious mission to study the chemical makeup and behavior of the gases in the nebula
M1408637,Cosmic Mirage,2050-09-12,2053-02-05,E8483883,E7947414,A mission to study optical illusions caused by the nebula and photograph the nebula from various angles in attempt to understand formation
M4728202,Weathering Heights,2043-10-10,2046-02-18,E8961035,E7947414,"A mission to study the extreme weather phenomena on Lucidus, such as dust storms and electrical discharges."
M3297382,Rocky Horrors,2073-11-12,,E2842201,E4232170,An exploratory mission to study the unique rocky terrain on Lucidus with focus on geological formation of canyons.
M0189460,Double Star,2053-04-18,2055-08-12,E3357916,E0162206,An exploratory mission to study and document the binary stars and complex configuration of Cerulean
M8933551,Super-Earth,2060-03-15,,E4514470,E7947414,"A mission to investigate the potential for life on Cerulean, including observations of biosignature gases and atmospheric compositions."
M4433133,Rocky Descent,2074-03-10,2076-05-07,E3357916,E0380472,Deploying rovers and drones to analyze atmospheric and surface data
M8504097,Hazardous Meanderings,2061-09-14,2061-12-14,E1783092,E0380472,Deploying protective drones to study the toxic atmosphere
M5144984,Sandstorm Watch,2062-02-18,2062-04-12,E5085375,E0162206,Keeping track of sandstorm patterns and how they affect the planet's environment
M3792793,Sands of Time,2059-05-06,2060-06-22,E3357916,E0162206,Analyze sandstorms to determine patterns and sieving for unknown materials
M0527808,Icy Dip,2073-03-10,2074-05-07,E7870753,E8367340,Retrieve and study samples from the ice shelf.
M9506521,Underwater Odyssey,2047-02-10,2051-03-09,E9901102,E4232170,Investigate underwater geological formations and search for new species.
M8521929,The Teutonic Shift,2068-12-12,,E8961035,E8367340,Studying tectonic activity and testing new terraforming techniques.
M1890512,Eye of the Storm,2050-10-02,2051-01-07,E8541698,E0162206,Analyze the violent storms plaguing the planet's surface and their effect on life.
M8171300,Jungle Fever,2074-02-14,,E0477498,E0162206,Catalogue and analyze the different flora and fauna found on the planet.
M4169283,Biochemical Reconnaissance,2045-06-06,2047-11-22,E9537978,E0380472,Study the planet's life forms for any potential medicinal or technological properties.
M6168578,A Heavy Haul,2065-09-19,,E0692717,E4232170,Test different mechanized suits and engines in extreme gravity conditions.
M5563084,A Glimmer of Hope,2057-03-15,2058-03-20,E9901102,E7947414,Study the planet's violent weather patterns and their effects on the environment.
M9676988,Thunderstruck,2071-08-05,,E7843495,E8367340,Collect atmospheric data during lightning storms.
M8406300,Gaseous Gossamer,2038-06-06,2041-11-22,E7843495,E4232170,Study the planet's gaseous clouds for any potential unknown properties.
M8580936,Evolutionary Watch,2075-02-20,,E2842201,E7947414,Monitor the evolutionary patterns of the planet's life forms.
M4436552,Planet of the Chameleons,2060-01-14,2062-01-14,E7843495,E8367340,Document the planet's diverse animal ecology.
M4189220,Gas Giant Diver,2064-08-12,2066-08-17,E3357916,E7947414,A mission to study the effects of the harsh atmospheric environment on spacecraft structure and functionality
M9612668,Raging Storm,2073-05-18,,E7245705,E7947414,A dangerous mission to analyze the behavior of a powerful storm in the planet's atmosphere.
M4386919,Acidic Terrain Survey,2062-01-10,,E8541698,E0162206,An exploratory mission to study the geological composition of the planet's acidic terrain
M2252465,Atmospheric Analysis,2068-04-03,2068-09-15,E3357916,E8367340,A mission to study the planet's unusual atmospheric behavior and composition
M2125474,Extreme Cold Research,2075-11-22,2076-08-20,E5085375,E4232170,A research mission to study the extreme cold environment of the planet and its effects on living organisms
M5680126,Ice Formation Study,2064-11-20,2066-05-11,E7870753,E8367340,A mission to study the formation and movement of ice on the planet's surface
M8449903,Atmospheric Penetration,2064-11-20,,E7843495,E8367340,A mission to study the planet's atmospheric composition by penetrating it with a specialized probe
M6003120,Heavy Metal Mining,2062-01-10,2064-04-20,E7870753,E0162206,A mission to extract valuable minerals from deep within the planet's rocky surface
M4905913,Atmospheric Survey,2073-05-18,,E2842201,E8367340,An exploratory mission to study the composition and behavior of the planet's toxic atmosphere
M3133708,Hazardous Waste Disposal,2068-04-03,2068-09-15,E8961035,E4232170,A hazardous mission to dispose of potentially dangerous toxins on the planet's surface
M4802761,Glacial Retreat,2073-02-07,2074-08-23,E2676502,E7947414,A mission to study the retreat of the planet's ice cap in order to better understand the effects of climate change on the planet's ecosystem
M4439733,Aurora View,2046-12-08,2047-02-17,E8541698,E4232170,An exploratory mission to observe the planet's northern lights
M7613438,Hidden Depths,2069-07-14,2070-05-09,E9901102,E4232170,A mission to explore the deepest areas of the oceans and uncover any mysteries they may hold
M8828093,Light the Void,2055-12-30,,E3357916,E8367340,An exploratory mission to understand the properties and secrets of dark matter
M8656235,Crystal Formation Study,2049-06-02,2051-03-22,E0477498,E4232170,A mission to study the formation and properties of the moon's unique crystal lattice
M5412020,Reflected Glory,2072-09-17,2073-12-08,E3357916,E0380472,A mission to study the way light reflects off the moon's crystalline surface and its effects on the surrounding space
M5832421,Rainforest Expedition,2049-11-12,2053-07-19,E7843495,E0162206,A mission to explore the planet's rainforests and catalog its diverse flora and fauna
M5500596,Avalon,2064-08-09,2066-10-03,E7843495,E8367340,"A mission to study the planet's unique geological features and the mechanisms that have given rise to its rich, flourishing ecosystem"
M1384891,Extreme Hotspot Monitoring,2052-01-25,2052-06-30,E7843495,E4232170,A mission to study the most active and dangerous areas of the planet's volcanic activity
M6044209,Molten Depths Expedition,2072-01-26,,E7843495,E0380472,A highly dangerous mission to explore the molten depths of the planet's mantle and gather samples to better understand the nature of the planet's tectonic activity
M2810424,Early Universe Formation Investigation,2059-03-14,2061-09-06,E3357916,E8367340,Investigation of the planet's early universe formation with an emphasis on geological samples.
M2549791,Ground Exploration,2063-02-02,2063-06-19,E7843495,E0380472,The objective of this ground mission is to analyse the elements found on surface.
M0863250,Navigational Tech Improvement,2062-07-24,,E1783092,E7947414,A long term research project to improve navigational technology in order to reduce impacts of the electromagnetic field on navigation.
M2767318,EM field analysis,2041-11-22,2042-06-01,E3357916,E0380472,Detailed analysis of the electromagnetic field. Sensors placed throughout the planet to determine how power is generated by the planet.
M5282162,Ring Clustering Research,2049-11-01,2050-12-12,E8541698,E8367340,A mission to study how asteroids in the rings are formed and if there are clusters.
M5528304,Remote Mining Operation,2058-03-02,2060-11-09,E8541698,E4232170,A mining operation to extract valuable minerals from denser asteroid clusters using drones.
M0746127,Acid Rain Analysis,2052-07-13,2054-02-19,E3357916,E4232170,A mission to analyze the pH levels of the rain and finding how it has an impact on the environment.
M9965549,Remote Observation,2067-05-11,,E8961035,E0162206,A remote observation of the planet to observe its climate and weather patterns.
M9110615,Weather Pattern Analysis,2046-08-23,2047-06-10,E7870753,E4232170,Analysis of extreme weather patterns to study and predict localized natural disasters.
M7640435,Severe Weather Observation,2045-02-04,2052-06-03,E7843495,E8367340,"Long term observation of natural disaster phenomenon, with a particular emphasis on typhoons and sandstorms."
M9999647,Mining,2057-08-07,2059-12-24,E6793306,E8367340,An operation to extract valuable minerals and rare earth elements from the planet's surface.
M8018741,Geological Analysis,2063-03-01,2063-06-15,E8961035,E8367340,A mission to collect and analyze geological samples from the planet's surface.
M4707508,Atmospheric Study,2041-09-13,2042-06-04,E8961035,E0162206,A mission to study the planet's atmospheric composition and behavior of massive cyclones.
M1025732,Remote Observation,2065-07-20,,E3357916,E4232170,A remote observation to collect and analyze data on weather patterns and atmospheric conditions.
M0105728,Botanical Study,2048-08-08,2050-05-02,E9901102,E0162206,A botanical study to analyze the planet's flora and ecosystem.
M4281308,Oceanic Study,2060-12-01,2061-02-15,E8961035,E4232170,An oceanic study to analyze the water body and its abundant life forms.
M6852988,Volcanic Activity Study,2058-02-22,2059-07-05,E7870753,E8367340,A mission to study the planet's intense volcanic activity and its impact on its environment.
M9000930,Geological Survey,2065-12-07,,E0356214,E7947414,A geological survey to collect samples and analyze the planet's mineral and rock formations.
M5351599,Ecosystem Study,2055-11-10,2057-04-13,E6428947,E8367340,A mission to study the planet's unique ecosystem and its highly adapted life forms.
M2445545,Atmospheric Analysis,2062-01-01,2062-03-15,E7843495,E8367340,A mission to analyze the planet's low oxygen levels and atmospheric composition.
M0310086,Stonewalker,2038-07-12,2040-02-21,E3357916,E4232170,Prospecting mission to locate and extract valuable minerals.
M1893368,Fractured Foundations,2041-04-09,2042-12-31,E1783092,E0380472,Geological mission to study the planet's tectonic activity and formation.
M4914306,Cloud Weaver,2050-08-06,,E8541698,E8367340,Exploratory mission to study unusual cloud formations and atmospheric currents.
M0768474,Storm Chaser,2062-08-05,2064-05-13,E6428947,E0380472,Mission to track and analyze severe storms and weather patterns.
M2224022,New Horizons,2061-09-19,2065-02-02,E1783092,E4232170,Colonization mission to establish a sustainable settlement.
M2221143,Pathfinder,2067-01-19,,E8483883,E4232170,Reconnaissance mission to explore uncharted regions of the planet.
M5917069,Icebreaker,2044-03-11,2047-10-28,E8961035,E7947414,Mission to study the planet's water cycle and extract samples of exotic ice formations.
M0478872,Frostbite,2060-07-25,2061-11-30,E3487347,E8367340,Geological mission to study the planet's unique landforms and geological history.
M0040624,Marine Explorer,2038-06-10,2040-12-25,E7843495,E0162206,Marine biology and oceanography mission to study the planet's underwater ecosystems and geology.
M2546129,Subterranean Odyssey,2061-04-02,,E3357916,E7947414,Exploratory mission to survey and map the underground cavern systems and search for valuable resources.
M7657106,New Horizons,2045-09-05,2048-05-18,E8483883,E0162206,Exploratory mission to study the planet's flora and fauna
M9604390,The Green Frontier,2055-01-15,,E7843495,E4232170,Mission to establish a permanent base on the planet and study the surrounding area
M8047184,Fury of the Volcano,2062-11-11,2063-05-20,E1783092,E0380472,Mission to study the planet's volcanic activity and collect samples
M8923783,Moons of Zypheria,2048-08-15,2051-05-14,E8541698,E7947414,Mission to study the behavior of the moons orbiting the gas giant
M1481301,Into the Storm,2070-03-01,,E7843495,E0380472,Mission to study the storms and other atmospheric phenomena of the gas giant
M9931122,Ring of Ice,2040-10-10,2042-08-13,E5502287,E8367340,Mission to study the planet's ring system and collect samples
M4562144,Frozen Wasteland,2075-03-25,,E3357916,E8367340,Mission to establish a research base on the planet and study the surrounding area
M3636676,Cave Dwellers,2042-06-01,2044-03-20,E1783092,E4232170,Mission to explore and map the planet's cave system
M6455846,The Red Planet,2075-10-01,,E7843495,E0162206,Mission to study the planet's geology and search for signs of life
M1120544,Gaseous Death,2042-07-15,2044-12-25,E5085375,E0380472,Study of the atmospheric composition and behavior of poisonous gas pockets
M6413839,Lifeless Excursion,2062-08-01,2064-02-01,E0692717,E0162206,Exploratory study of the planet's topography and geography
M4363251,Rex Mortem,2045-12-23,2049-08-13,E0356214,E0380472,Investigation of seismic activity and collecting data on topography
M5460290,Praesagio,2071-07-01,2073-01-01,E1783092,E8367340,Investigation of planet's geological history to predict potential natural threats.
M8378606,Eye in the Sky,2046-11-05,2052-09-15,E7843495,E4232170,"Orbit study of planet's atmosphere, composition and ring system identification."
M8390369,Blue Glory,2070-03-01,,E6428947,E0162206,Mission to establish an atmospheric monitoring station.
M6135518,Moons of Groxina,2041-01-01,2043-07-20,E8541698,E7947414,"Study of the behavior, composition and general characteristics of the moons."
M9590871,The Frozen Frontier,2073-10-01,,E2842201,E0380472,"Establishing a research base on the planet, studying surrounding area and seeking for potentially valuable resources."
M5496775,Shiny Shield,2042-03-12,,E2676502,E8367340,Study of the planet's electromagnetic fields and their impact on safety and equipment.
M6797782,Project Echo,2070-01-01,2074-01-01,E3487347,E8367340,Project to establish and operate a radio-transmission station in order to monitor space and any signals received from extraterrestrial sources.
M7146997,Wind Rider,2072-06-10,,E7843495,E0380472,Study of the planet's high winds and development of weather prediction models
M0644156,Rocky Outcrop,2069-02-14,2071-10-09,E7870753,E8367340,Exploration of the planet's surface and collection of geological samples.
M1516433,Aurora Sky,2063-10-17,2070-05-08,E3487347,E4232170,Study of the auroras in the planet's atmosphere and the impact of the planet's magnetic field on them.
M0666044,Jovian Storm,2058-07-22,2061-02-01,E8541698,E7947414,Investigation of the planet's extreme weather and development of protective measures for spacecraft.
M3102395,Storm Chaser,2044-12-01,2048-05-10,E2676502,E8367340,Study of the behavior and characteristics of the lightning storms on the planet and the impact on the atmosphere.
M0159718,Heavy Clouds,2058-02-15,,E7843495,E4232170,Investigation of the composition of the planet's dense atmosphere and potential benefits of atmospheric extraction.
M4552455,Arctic Oasis,2045-05-22,,E3357916,E0380472,Investigation of the planet's polar regions and potential for a sustainable colony.
M7477998,Underwater Depths,2055-01-10,2058-12-01,E7843495,E4232170,Exploration of the planet's undersea depths and collection of marine samples.
M5315046,Lava Fields,2048-10-15,,E6793306,E7947414,Study of the planet's volcanic activity and potential for resource extraction.
M1360326,Inferno,2066-03-05,2067-08-20,E8541698,E7947414,Investigation of the planet's magma chambers and prediction of volcanic eruptions.
M7474349,Underground Explorer,2054-06-01,2056-12-01,E8541698,E7947414,Exploration of the planet's underground tunnel system and collection of geological samples.
M7809870,Terrestrial Surveyor,2060-08-20,,E1783092,E0162206,Investigation of the planet's surface for potential resource extraction.
M1416973,Heavy Lifter,2038-06-06,,E7843495,E0380472,Test of new spacecraft technologies designed for high-gravity environments.
M5147208,Storm Sentinel,2045-11-10,2047-09-15,E2676502,E4232170,Study of the planet's severe weather and development of protective measures for spacecraft.
M4076526,Radiation Shield,2048-04-12,,E8961035,E8367340,Development and testing of new radiation shielding technologies.
M6953442,Gamma Storm,2055-08-05,2057-02-28,E7843495,E7947414,Investigation of the planet's harsh radiation environment and development of protective measures for spacecraft.
M0642603,Project Singularity,2065-02-11,2069-12-31,E8961035,E0380472,Mission to study a rapidly-spinning black hole and its accretion disk.
M0695797,High Frontier,2046-03-25,2048-12-19,E7843495,E8367340,The initial exploratory mission to scan and survey Luminex for resources.
M4824789,Stranger Tides,2071-12-25,2072-11-26,E3357916,E7947414,Mission to collect geological samples from an area of the planet's crust that displays highly anomalous mineral content and activity.
M3289331,Molten Heart,2056-08-14,,E9901102,E4232170,Mission to collect data and perform experiments on the planet's molten core and geothermal vents.
M8487348,Chasing Shadows,2055-06-01,2058-10-13,E8541698,E7947414,Mission to study the unique and anomalous properties of the planet fragment's composition. This mission presented severe navigation and orbiting challenges.
M3472434,Fragments of the Past,2047-02-28,2050-07-10,E5502287,E4232170,Mission to study the planet's history and gather data about the event that led to the planet's fragmentation.
M5606722,Mirage,2070-06-07,2071-01-15,E7870753,E4232170,"The first manned expedition to Golthon, this mission studied bioluminescent activity and the highly concentrated microbes living in the planet's atmosphere."
M7928704,Echoes of the Abyss,2051-11-11,2053-04-29,E3357916,E7947414,"Mission to investigate anomalous sonar readings, suspected to be a sea monster, in one of the planet's incredibly deep oceans."
M5788872,Aurora,2043-09-19,2051-02-15,E1783092,E0162206,Exploratory mission to scan and survey Terra Nova for resources.
M6122255,New Dawn,2061-01-01,,E5085375,E0380472,Mission to establish the first colony on Terra Nova and research its potential habitability.
M3412188,Seismic Instability,2062-09-08,2063-07-11,E5085375,E7947414,Mission to investigate the cause of the planet’s extreme seismic activity.
M4258128,Gas Pockets,2066-04-05,,E1783092,E4232170,Exploratory mission to study the behavior and composition of the high-pressure gas pockets present in the planet’s atmosphere.
M3611761,Atmospheric Dynamics,2067-07-08,2068-05-02,E1783092,E0380472,Mission to study the planet’s dense atmosphere and its behavior under intense solar radiation.
M5744971,Radiation Mapping,2072-12-03,,E8961035,E7947414,Mission to map the planet’s radiation emissions and study the effects of solar radiation on living organisms.
M8777804,Volcanic Eruptions,2070-01-10,2072-07-06,E1783092,E4232170,Mission to study the various forms of volcanic activity on the planet and analyze its effects on the planet’s geology.
M8204464,Tectonic Plates,2074-09-16,,E7560667,E0162206,Mission to study the planet’s tectonic plates and analyze the planet’s geological history.
M1705355,Microbial Life Forms,2065-11-02,2067-04-07,E5502287,E0162206,Mission to study and analyze the behavior and composition of the planet’s highly aggressive microbial life forms.
M9623016,Atmospheric Composition,2071-01-08,,E0356214,E0162206,Mission to study the composition of the planet’s dense atmosphere and analyze its potential effects on the planet’s microbial life forms.
M0185849,Atmospheric Complexity,2073-06-22,2074-09-06,E9901102,E7947414,Mission to study the highly complex atmospheric composition of the planet and analyze its potential effects on nearby celestial bodies.
M0940003,Magnetic Field,2075-02-08,,E2676502,E4232170,Mission to study and analyze the planet’s strong magnetosphere and its potential effects on space travel and communication.
M8894561,Orbital Behavior,2070-09-26,2071-12-30,E3357916,E0162206,Mission to study the planet’s highly eccentric orbit and analyze its potential effects on nearby celestial bodies.
M0224173,Meteor Shower Activity,2074-07-22,,E5218212,E0380472,Mission to study and analyze the unpredictable meteor shower activity on the planet and develop strategies for safeguarding nearby celestial bodies.
M8521825,Glothir Recon,2040-07-10,2042-01-15,E8961035,E8367340,A reconnaissance mission to explore the surface of Glothir.
M7693328,Seismic Testing,2039-05-05,2040-02-14,E8541698,E0162206,Testing for minerals and resources
M6046584,Glothir Atmospheric Exploration,2065-09-03,,E7843495,E7947414,Exploring the atmospheric composition of Glothir.
M6055179,Zandor Prime Study,2038-09-20,2041-01-01,E7843495,E0162206,Deep Study of the Zandor environment
M0380823,Zandor Gas Study,2066-06-01,,E1783092,E4232170,Study behavior of gases within Zandor prime.
M5973762,Zandor Tornado Study,2050-04-13,2053-05-12,E6428947,E0162206,Investigating behavior of massive tornadoes
M6558178,Pheilon Seismic Testing,2074-07-24,2075-11-22,E7843495,E8367340,Testing for minerals and resources
M1660209,Pheilon Magnetic Field Analysis,2061-11-05,,E8961035,E8367340,Studying the magnetic field of the planet Pheilon
M9915390,Pheilon Low Gravity Studies,2055-02-11,2057-06-02,E8541698,E7947414,Experiment on the behavior of human body in low gravity.
M0806660,Kepler's Legacy,2065-08-20,2070-05-27,E1783092,E4232170,"The primary mission to study the exoplanet's atmosphere and determine its potential for human habitation. The mission involves a crew of five, led by a mission planner, two astrobiologists, and two atmospheric scientists. The mission is expected to last five years and involves the deployment and maintenance of several probes around the exoplanet."
M5315561,The Great Migration,2072-02-12,2075-11-22,E3349141,E0162206,"The first colonization attempt of Kepler-438b. A crew of 50, led by a project manager, a spacecraft engineer, and a chief medical officer, will establish a permanent human colony on the exoplanet. The mission is expected to last three years, and the crew will be tasked with building infrastructure, conducting necessary research, and establishing a sustainable colony."
M0317530,Into the Gas Giant,2049-11-22,2052-06-11,E1783092,E4232170,"An exploratory mission to study the atmospheric composition and behavior of the gas giant. The mission involves a small crew of four, including a planetary scientist, an atmospheric scientist, a propulsion engineer, and a communications specialist. The mission is expected to last two and a half years and involves deploying several probes into the gas giant's atmosphere."
M6168109,Beyond the Blue,2063-06-06,,E7843495,E4232170,"An initial reconnaissance mission to study the exoplanet's surface and atmosphere. The mission involves a small crew of two, including a planetary scientist and a data scientist, and is expected to last several months. The mission involves deploying several autonomous probes on the surface and in the atmosphere."
M4417358,Over the Rainbow,2069-02-18,,E9901102,E7947414,"A more in-depth mission to study the exoplanet's potential for human habitation. The mission involves a larger crew of ten, including a project manager, a systems engineer, an exobiologist, and several atmospheric scientists. The mission is expected to last two years and involves the deployment of several rovers, landers, and autonomous drones."
M1181410,The New Frontier,2075-07-02,,E7245705,E4232170,"The first colonization attempt of Gliese 667 Cc. The mission involves a crew of 100, led by a chief engineer, a logistics officer, and a chief operating officer. The mission is expected to last several years and involves establishing a permanent human colony on the exoplanet's surface. The crew will be tasked with building infrastructure, conducting necessary research, and establishing a sustainable colony."
M1238732,TRAPPIST-1: Window to the Universe,2040-09-18,2045-12-20,E8961035,E8367340,"The primary mission to study the exoplanet's atmosphere and determine its potential for human habitation. The mission involves a crew of five, led by a mission planner, two astrobiologists, and two atmospheric scientists. The mission is expected to last five years and involves the deployment and maintenance of several probes around the exoplanet."
M0803693,The Second Chance,2068-03-22,,E1783092,E8367340,"An ambitious mission to establish a second colony on TRAPPIST-1d. The mission involves a crew of 50, led by a project manager, a spacecraft engineer, and a chief medical officer, and is expected to last several years. The crew will be tasked with building infrastructure, conducting necessary research, and establishing a sustainable colony."
M1385399,New Horizons,2038-06-06,,E8483883,E8367340,"An initial exploratory mission to study Grana's surface and atmosphere. The mission involves a small crew of two, including a planetary scientist and a data scientist, and is expected to last several months. The mission involves deploying several autonomous probes on the surface and in the atmosphere."
M2396863,Pathfinders,2059-08-22,2061-12-06,E7870753,E0162206,"An extensive exploration mission to study the geology, geography, and biosphere of Grana. It is a crew of ten, led by a project manager, a planetary scientist, a systems engineer, and several atmospheric scientists. The mission is pathfinding for the colonization attempt that will come after. The crew will utilize available resources on the planet in order to maintain and provide for themselves as they travel."
M6610898,Storm Chasers,2051-07-12,2053-09-16,E3357916,E0380472,"An exploratory mission to study the behavior of the immense storms present within Keloni. The mission involves a small crew of four, including a planetary scientist, an atmospheric specialist, a propulsion engineer, and a communications engineer. The mission gives data that is useful to the designers of the unmanned probe that will be sent to Keloni which will emit sensors to study the storms over a long period of time."
M0066571,Gas Titans,2060-05-11,,E3487347,E0162206,"An extensive study of the upper atmosphere of Keloni in regards to its atmospheric composition. A crew of twenty, composed of atmospheric scientists, engineers, and life support specialists; will be sent to study various regions of the atmosphere for one year."
M0934838,Blind Eye,2045-03-03,2053-05-18,E5502287,E0380472,"An exoplanet survey mission leads to the chance encounter with Saha. Due to a maze of regulations, the crew of the ship that encountered Saha has to abandon the planet without so much as a proper scan. Now, a newly formed team at F-SEA, composed of their best engineers, leads a mission to closely observe the planet and work to gather readings for trade with other research institutions."
M3202007,Lost Wanderer,2067-01-22,,E7843495,E8367340,"A second mission to Saha in order to try and unveil the planet’s secrets. It is a crew of forty, composed of astrophysicists, planetary geologists, and environmental scientists led by both a project manager and a planetary scientist. Their goal is to establish a proper research station to lead comprehensive research on Saha over a long period of time."
M2283654,Highlanders,2065-03-22,2067-05-15,E7870753,E4232170,"The first expedition to the surface of Thalua. A crew of twenty, including planetary geologists, environmental scientists, and a group of climbers/scientists, as the planet's heavy gravity will require the crew to do substantial walking in order to complete their mission. They are equipped with base camps and provisions to last for the duration of their stay. Their goal is to map the planet's surface and study its geology, mountain ranges, and landscapes before determining its potential for building infrastructure or establishment of a colony."
M6714212,Aurora Reconnaissance,2050-04-15,2051-06-30,E0692717,E8367340,Recon mission to investigate the icy terrain and rocky formations
M9380572,Nebula Study,2052-09-05,,E0356214,E7947414,Long-term mission to study the planet's atmosphere and weather patterns
M7823882,Nebula Probe,2049-11-23,2051-06-30,E0356214,E0162206,Robotic probe mission to collect data on the planet's core
